year,segment,manuf,purchases,range,vol,speed,noise,power,length,wingspan,maxw,market_size,price
1981,"M","Bombardier",16,2397,407,477,84.2,16.5,16.79,13.34,9525,6599,8.602383
1981,"S","Bombardier",85,2269.907,275.2093,468.8372,85.90232,15.01861,14.75326,11.76093,7952.326,6599,6.26691
1981,"S","Cessna",158,1749.335,243.28,386.785,75.706,11.6321,14.0058,15.37385,6271.425,6599,3.363311
1981,"M","Dassault",31,2600.569,700,471.7945,86.33014,23.05822,18.03205,14.3937,16092.66,6599,18.67842
1981,"S","Dassault",4,1900,251,492,82.2,14.4,13.86,13.08,8627.5,6599,8.995652
1981,"L","Gulfstream",20,4100,1345,500,91.1,50.7,25.32,23.72,31615,6599,22.7543
1981,"M","IAI",39,2905,347,469,81.2,16.5,15.93,13.65,10660,6599,8.053246
1981,"M","Other",19,1713,400,490,84,15.6,15.27,13.61,10435,6599,11.14438
1981,"S","Other",5,1929,305,404,86.3,11.1,14.75,13.25,7158,6599,6.907361
1981,"M","Raytheon",30,2550,604,436,91.6,16.6,15.46,14.33,11567,6599,12.18852
1982,"L","Bombardier",32,3352,1035,460,80.5,40.7,20.85,19.61,19550,7047,20.17407
1982,"M","Bombardier",33,2397,407,477,84.2,16.5,16.79,13.34,9525,7047,9.227015
1982,"S","Bombardier",26,2257.022,275.5778,468.7778,86.02,14.98889,14.74933,11.74667,7934.556,7047,6.936194
1982,"M","Cessna",1,2304,438,473.33,78.9,16.87,16.9,16.31,10047.67,7047,9.715732
1982,"S","Cessna",91,1830.475,250.4333,392.3417,75.21833,11.992,14.14517,15.56508,6436.742,7047,4.081106
1982,"M","Dassault",27,2931.952,700,474.1346,84.84808,24.29327,18.38827,17.65423,17341.63,7047,17.23232
1982,"S","Dassault",1,1900,251,492,82.2,14.4,13.86,13.08,8627.5,7047,9.72922
1982,"L","Gulfstream",26,4100,1345,500,91.1,50.7,25.32,23.72,31615,7047,23.85989
1982,"M","IAI",17,2905,347,469,81.2,16.5,15.93,13.65,10660,7047,9.838515
1982,"S","Other",17,1929,305,404,86.3,11.1,14.75,13.25,7158,7047,6.907635
1982,"M","Raytheon",21,2550,604,436,91.6,16.6,15.46,14.33,11567,7047,12.48847
1983,"L","Bombardier",13,3352,1035,460,80.5,40.7,20.85,19.61,19550,7571,19.38412
1983,"M","Bombardier",17,2397,407,477,84.2,16.5,16.79,13.34,9525,7571,10.785
1983,"S","Bombardier",16,1996.72,275.36,468.56,87.832,14.4,14.6716,11.6648,7582.4,7571,7.49477
1983,"M","Cessna",14,2304,438,473.33,78.9,16.87,16.9,16.31,10047.67,7571,10.27854
1983,"S","Cessna",43,1840.312,252.541,394.0328,75.41967,12.00639,14.18623,15.62197,6492.836,7571,4.64004
1983,"M","Dassault",13,2581.8,700,471.2,85.28,23.14,17.698,11.336,15527.4,7571,17.83482
1983,"S","Dassault",1,1900,251,492,82.2,14.4,13.86,13.08,8627.5,7571,10.66416
1983,"L","Gulfstream",23,4100,1345,500,91.1,50.7,25.32,23.72,31615,7571,25.30162
1983,"M","IAI",11,2905,347,469,81.2,16.5,15.93,13.65,10660,7571,10.2206
1983,"S","Other",9,1929,305,404,86.3,11.1,14.75,13.25,7158,7571,7.972747
